time;gFx;gFy;gFz;TgF
1,045000;-0,0173;0,0496;0,9891;0,990
1,046000;-0,0157;0,0484;0,9898;0,991
1,067000;-0,0154;0,0443;0,9849;0,986
1,068000;-0,0157;0,0430;0,9837;0,985
1,069000;-0,0168;0,0427;0,9871;0,988
1,069000;-0,0181;0,0422;0,9870;0,988
1,070000;-0,0175;0,0440;0,9899;0,991
1,072000;-0,0179;0,0463;0,9884;0,990
1,076000;-0,0192;0,0468;0,9869;0,988
1,081000;-0,0172;0,0432;0,9891;0,990
1,086000;-0,0182;0,0470;0,9892;0,990
1,092000;-0,0171;0,0496;0,9925;0,994
1,097000;-0,0156;0,0481;0,9865;0,988
1,102000;-0,0168;0,0512;0,9838;0,985
1,106000;-0,0171;0,0502;0,9871;0,989
1,111000;-0,0181;0,0509;0,9895;0,991
1,118000;-0,0195;0,0518;0,9888;0,990
1,121000;-0,0164;0,0501;0,9939;0,995
1,125000;-0,0161;0,0482;0,9945;0,996
1,131000;-0,0155;0,0502;0,9885;0,990
1,145000;-0,0162;0,0536;0,9826;0,984
1,146000;-0,0178;0,0554;0,9778;0,980
1,148000;-0,0160;0,0567;0,9774;0,979
1,166000;-0,0138;0,0607;0,9808;0,983
1,168000;-0,0151;0,0593;0,9868;0,989
1,169000;-0,0172;0,0591;0,9907;0,993
1,169000;-0,0187;0,0575;0,9939;0,996
1,171000;-0,0200;0,0553;0,9957;0,997
1,176000;-0,0175;0,0543;0,9929;0,995
1,180000;-0,0179;0,0517;0,9932;0,995
1,185000;-0,0179;0,0532;0,9893;0,991
1,190000;-0,0148;0,0534;0,9881;0,990
1,195000;-0,0170;0,0561;0,9841;0,986
1,200000;-0,0170;0,0539;0,9811;0,983
1,206000;-0,0165;0,0553;0,9808;0,982
1,210000;-0,0154;0,0598;0,9885;0,990
1,215000;-0,0168;0,0598;0,9942;0,996
1,220000;-0,0164;0,0591;0,9945;0,996
1,225000;-0,0198;0,0540;1,0001;1,002
1,230000;-0,0220;0,0569;0,9986;1,000
1,244000;-0,0181;0,0534;0,9968;0,998
1,246000;-0,0189;0,0496;0,9871;0,989
1,248000;-0,0197;0,0484;0,9870;0,988
1,263000;-0,0155;0,0504;0,9874;0,989
1,265000;-0,0154;0,0466;0,9873;0,988
1,266000;-0,0175;0,0485;0,9876;0,989
1,267000;-0,0137;0,0481;0,9874;0,989
1,273000;-0,0167;0,0484;0,9919;0,993
1,275000;-0,0177;0,0488;0,9903;0,992
1,279000;-0,0186;0,0485;0,9909;0,992
1,285000;-0,0206;0,0475;0,9887;0,990
1,289000;-0,0179;0,0480;0,9874;0,989
1,295000;-0,0190;0,0457;0,9853;0,987
1,302000;-0,0204;0,0479;0,9869;0,988
1,305000;-0,0179;0,0470;0,9804;0,982
1,310000;-0,0166;0,0506;0,9859;0,987
1,314000;-0,0170;0,0491;0,9895;0,991
1,321000;-0,0155;0,0460;0,9948;0,996
1,325000;-0,0167;0,0474;0,9962;0,997
1,329000;-0,0164;0,0453;0,9980;0,999
1,346000;-0,0189;0,0457;0,9957;0,997
1,347000;-0,0208;0,0443;0,9870;0,988
1,348000;-0,0193;0,0449;0,9875;0,989
1,349000;-0,0175;0,0464;0,9858;0,987
1,357000;-0,0150;0,0470;0,9852;0,986
1,359000;-0,0164;0,0465;0,9851;0,986
1,364000;-0,0189;0,0458;0,9887;0,990
1,369000;-0,0168;0,0438;0,9903;0,991
1,374000;-0,0200;0,0466;0,9924;0,994
1,378000;-0,0186;0,0482;0,9869;0,988
1,384000;-0,0192;0,0476;0,9835;0,985
1,389000;-0,0189;0,0499;0,9794;0,981
1,393000;-0,0193;0,0491;0,9852;0,987
1,398000;-0,0179;0,0497;0,9899;0,991
1,404000;-0,0179;0,0506;0,9980;0,999
1,408000;-0,0177;0,0514;0,9967;0,998
1,413000;-0,0186;0,0514;0,9958;0,997
1,419000;-0,0186;0,0508;0,9880;0,989
1,424000;-0,0173;0,0519;0,9847;0,986
1,428000;-0,0181;0,0510;0,9820;0,983
1,443000;-0,0201;0,0517;0,9816;0,983
1,444000;-0,0201;0,0565;0,9777;0,980
1,444000;-0,0159;0,0535;0,9788;0,980
1,462000;-0,0151;0,0539;0,9842;0,986
1,463000;-0,0168;0,0542;0,9876;0,989
1,464000;-0,0160;0,0537;0,9962;0,998
1,465000;-0,0176;0,0530;0,9993;1,001
1,471000;-0,0167;0,0520;0,9985;1,000
1,473000;-0,0183;0,0537;0,9963;0,998
1,479000;-0,0195;0,0546;0,9928;0,994
1,485000;-0,0186;0,0569;0,9826;0,984
1,489000;-0,0162;0,0595;0,9741;0,976
1,493000;-0,0183;0,0569;0,9763;0,978
1,498000;-0,0151;0,0604;0,9765;0,978
1,503000;-0,0161;0,0655;0,9837;0,986
1,507000;-0,0176;0,0617;0,9887;0,991
1,512000;-0,0195;0,0587;0,9953;0,997
1,519000;-0,0159;0,0573;0,9954;0,997
1,522000;-0,0199;0,0551;0,9963;0,998
1,527000;-0,0242;0,0488;0,9984;1,000
1,535000;-0,0188;0,0486;0,9969;0,998
